compte,role_buying_group,nom,titre,confiance,date_source,url_source,priorites,kpi_mesures,pourquoi_accessiway,requete_salesnav_si_a_confirmer
La Redoute,Trou - Référent accessibilité numérique,non trouvé,Référent accessibilité numérique / Digital Accessibility Lead,non trouvé,,,Conformité RGAA ; gouvernance a11y ; remédiation,% RGAA ; tickets a11y ; formation équipes,Cible naturelle d'AccessiWay : audit + roadmap + widget + monitoring,"Current company: ""La Redoute"" | Title CONTAINS ""accessibilité"" OR ""accessibility"" OR ""RGAA"" OR ""a11y"" | Geography: France OR Portugal"
La Redoute,Trou - Head of Engineering,non trouvé,Head of Engineering / VP Engineering / Directeur Technique,non trouvé,,,Vélocité ; qualité code ; staffing squads ; architecture,Vélocité ; lead time ; change failure rate ; MTTR,Backlog Jira pré-formaté = pas de surcharge équipes,"Current company: ""La Redoute"" OR ""La Redoute Tech"" | Title CONTAINS ""Head of Engineering"" OR ""VP Engineering"" OR ""Engineering Director"" OR ""Directeur Technique"" | Geography: Lille OR Leiria OR Porto OR Roubaix"
La Redoute,Trou - Achats indirects groupe,non trouvé,Directeur Achats IT / Procurement indirects (groupe Galeries Lafayette),non trouvé,,,Process achat SaaS ; rationalisation fournisseurs ; coûts,Coût par projet ; cycle d'achat ; nombre fournisseurs actifs,DPA + références groupe similaires + grille tarifaire claire,"Current company: ""Groupe Galeries Lafayette"" OR ""La Redoute"" OR ""Motier"" | Title CONTAINS ""Achats IT"" OR ""Achats indirects"" OR ""Procurement"" OR ""Sourcing"" OR ""Directeur des Achats"" | Geography: France"
Ultra Premium Direct,Economic Buyer,Matthieu Wincker,Président cofondateur (Natura Plus / UPD),élevée,2024 / 2026-06-09,https://www.crunchbase.com/person/matthieu-wincker | https://business-cool.com/podcast/matthieu-wincker-ultra-premium-direct/,Intégration post-IPN ; continuité marque ; ROI tech ; réputation French Tech ; cohérence éthique Fondation UPD,CA récurrent abonnement ; marge ; NPS ; conversion ; attrition,Storytelling Fondation UPD + extension cause handicap humaine ; risque pénal/civil EAA jusqu'à 250k€ + bad-buzz champion FrenchTech,
Ultra Premium Direct,Economic Buyer (CEO opérationnelle),Sophie Wincker,Directrice Générale (CEO) cofondatrice,élevée,2025-08-14,https://inspiredpetnutrition.com/news/ipn-announces-exclusive-agreement-upd | https://www.linkedin.com/in/sophie-wincker/,Continuité opérationnelle post-deal ; satisfaction clients ; rétention abonnement,NPS ; LTV ; CSAT ; churn,Conformité EAA = continuité commerciale (pas de blocage campagnes/abonnement) + cohérence éthique,
Ultra Premium Direct,Economic Buyer (CFO),Guillaume Renard,Group CFO & Directeur Retail Business Development,élevée,2024-2025,https://www.daf-mag.fr/Thematique/fonction-finance-1242/gouvernance-strategie-2125/Breves/guillaume-renard-ultra-premium-direct-ia-permettra-daf-483564.htm | https://payhawk.com/fr/temoignages-de-clients/ultra-premium-direct-gagne-deux-jours-par-mois,Cash post-LBO ; ROI tech ; rationalisation outils ; conformité réglementaire,OPEX ; CAPEX ; EBITDA ; coût conformité,Audit + monitoring externalisé < recrutement interne expert RGAA ; budget IT absorbable post-LBO ; sécurise amendes DGCCRF,
Ultra Premium Direct,Champion (Tech/E-commerce),Pierre-Olivier Camus,Directeur Général Adjoint en charge du e-commerce (ex-CTO/CDO) - post-deal: Directeur D2C EMEA IPN,élevée,2025-06 / 2025-10,https://fr.linkedin.com/in/pierre-olivier-camus-68021522 | https://www.frenchtechbordeaux.com/nos-actualites/french-tech-box-e49-pierre-olivier-camus-ultra-premium-direct-le-cto-un-bon-visionnaire | https://fr.linkedin.com/posts/pierre-olivier-camus-68021522_une-grande-fiert%C3%A9-pour-la-team-ultra-premium-activity-7336286948870746112-AhHs,Roadmap tech (UX/data/produit/dev équipe 18p Bordeaux+Agen) ; scale UK+FR post-IPN ; Core Web Vitals ; conversion,Core Web Vitals ; conversion ; vélocité dev ; NPS app+site ; taux erreur ; time-to-market,Widget + monitoring continu = il garde la main sur la roadmap sans recruter expert RGAA ; audit externe décharge devs ; intégration Jira ; ROI multiplié sur portefeuille EMEA IPN,
Ultra Premium Direct,Champion (Brand/CX),Armandine Albert,Chief Brand Experience Officer (ex-Head of Brand 11+ ans),élevée,2025-10,https://fr.linkedin.com/in/armandine-albert-1b9b1712b | https://www.linkedin.com/posts/armandine-albert-1b9b1712b_delighted-to-embark-on-this-new-chapter-alongside-activity-7391158195643109376-6gm5,Image marque ; influence (créateurs Squeezie/Mastu/Djilsi) ; storytelling inclusion ; CSAT,NPS ; share of voice ; reach ; CSAT,Narrative inclusion cohérente Fondation UPD ; éviter blocage EAA des campagnes ; continuité commerciale,
Ultra Premium Direct,User (UX),Julie Martellière,UX Designer,élevée,2024-2025,https://www.linkedin.com/in/julie-martelli%C3%A8re-71a509bb/,Design system ; recherche utilisateur ; UX checkout abonnement ; conversion mobile,Conversion mobile ; taux complétion checkout ; satisfaction recherche utilisateur,Checklist WCAG-ready dans Figma ; design system patché composant par composant ; reste concentrée UX,
Ultra Premium Direct,User (Bénéficiaire final),Clients UPD en situation de handicap (notamment seniors abonnés),Audience PSH + silver economy petfood premium,élevée,,,Pouvoir s'abonner ; gérer abonnement ; SAV accessible,Conversion ; rétention abonnement ; tickets support a11y,Widget + remédiation = parcours d'achat et de gestion d'abonnement utilisables sans refonte ; +SEO,
Ultra Premium Direct,Blocker (DPO),non trouvé,DPO / Délégué à la Protection des Données,non trouvé,2026-06-09,https://www.ultrapremiumdirect.com/page/donnees-personnelles/,Conformité RGPD ; DSAR ; registres,Délai DSAR ; conformité fournisseurs ; nombre d'incidents,Positionner AccessiWay en compliance EAA et non data pour sortir du périmètre DPO ; DPA + preuve absence captation données,"Current company: ""Ultra Premium Direct"" OR ""Natura Plus"" | Title: DPO OR ""Délégué à la Protection des Données"" OR ""Data Protection Officer"" OR ""Délégué RGPD"" | Geography: France"
Ultra Premium Direct,Blocker (DRH),Julie Combes,Directrice des Ressources Humaines,moyenne,2024-2025,https://www.linkedin.com/in/julie-combes-a83130143/,Process achat outils ; formation équipes ; QVT,Satisfaction interne ; turnover ; budget formation,Outil clé en main = pas de formation lourde des équipes ; intégration Jira existant,"Current company: ""Ultra Premium Direct"" OR ""Natura Plus"" | Title: ""DRH"" OR ""Directrice RH"" OR ""HR Director"" | Geography: France"
Ultra Premium Direct,Trou - Head of Product,non trouvé,Head of Product / Lead Product / Director of Product,non trouvé,,https://www.welcometothejungle.com/fr/companies/ultra-premium-direct/jobs/product-owner-web-h-f_bordeaux,Roadmap produit ; priorisation ; coordination 4 PMs + 2 category managers,Vélocité ; ROI features ; OKR,Backlog Jira pré-priorisé = roadmap a11y livrée sans coûter de capacité,"Current company: ""Ultra Premium Direct"" | Title: ""Head of Product"" OR ""Lead Product"" OR ""Director Product"" OR ""Product Lead"" | Geography: France"
Ultra Premium Direct,Trou - Lead Dev,non trouvé,Lead Developer / Tech Lead / Engineering Manager,non trouvé,,,Qualité code ; architecture Sylius/Nuxt/Strapi/Akeneo ; perf,Lead time ; change failure rate ; couverture tests,Tickets Jira pré-formatés ; widget léger compatible stack headless,"Current company: ""Ultra Premium Direct"" | Title: ""Lead Dev"" OR ""Tech Lead"" OR ""Engineering Manager"" OR ""Head of Engineering"" | Geography: France"
Ultra Premium Direct,Trou - RSSI,non trouvé,RSSI / CISO,non trouvé,,,Sécurité applicative ; conformité ; script tiers,Incidents ; MTTR ; pen tests,Probablement absorbé par Camus à cette taille ; AccessiWay fournit SBOM + pen test + ISO 27001 + CSP-compatible,"Current company: ""Ultra Premium Direct"" OR ""Natura Plus"" | Title: RSSI OR CISO OR ""Responsable Sécurité"" OR ""IT Security"" | Geography: France"
Ultra Premium Direct,Trou - Achats,non trouvé,Responsable Achats / Procurement,non trouvé,,,Process achat ; coûts ; fournisseurs,Coût par projet ; cycle d'achat,Probablement absorbé par CFO Renard ; grille tarifaire claire + ROI documenté,"Current company: ""Ultra Premium Direct"" OR ""Natura Plus"" | Title: ""Responsable Achats"" OR ""Procurement"" OR ""Buyer"" | Geography: France"
Ultra Premium Direct,Trou - Référent accessibilité,non trouvé,Aucun signal d'existence,non trouvé,,,N/A - rôle inexistant aujourd'hui,N/A,Angle de pitch : 'vous n'en avez pas → AccessiWay devient votre département accessibilité' (audit + roadmap + widget + monitoring),"Current company: ""Ultra Premium Direct"" | Title: ""Accessibilité"" OR ""Accessibility"" OR ""RGAA"" | Geography: France"
